"","EarDiameter_NY","EarLength_NY","EarRankNumber_NY","EarRowNumber_NY","EarWeight_NY","GDDAnthesisSilkingInterval_NY","GDDDaystoSilk_NY","GDDDaystoTassel_NY","GerminationCount_NY","LeafLength_NY","LeafWidth_NY","MainSpikeLength_NY","MiddleLeafAngle_NY","NIROil_NY","NIRProtein_NY","NIRStarch_NY","NorthernLeafBlightPercentage_NY","NumberofTilleringPlants_NY","PlantHeight_NY","SecondaryBranchNumber_NY","SeedSetLength_NY","StandCount_NY","TasselBranchLength_NY","TasselLength_NY","TasselPrimaryBranches_NY","TilleringIndex_NY","UpperLeafAngle_NY","X20KernelWeight_NY"
"33-16",33.5507069952455,111.136562961337,NA,NA,NA,28.47111,962.9566675,934.4830575,1.44077612733705,743,83.5,227,85.7963985917859,3.77921931449083,13.344921258578,65.5597476114519,NA,0.86473649885544,136.615700738489,0.818576374175771,99.437275707228,1.85801426426351,NA,310,13,0.537286424834101,60.2416291977279,NA
"38-11",39.8333333333333,158.833333333333,NA,15.6666666666667,98.1666666666667,19.9636407426244,901.516738028509,881.72944783576,7.44077612733705,845,82,233.5,47.5,NA,NA,NA,NA,0.86473649885544,150,2.5,167.239223514779,8.85801426426351,233,352,11.5,0.537286424834101,60,4.31281095246968
"4226",40.5,148.166666666667,NA,12.4576744948914,91.7330838030432,30.2375307426244,768.185068028509,811.0816675,3.94077612733705,711.5,88.5,242,42.5,NA,NA,NA,NA,0.86473649885544,160,2,142,9.85801426426351,174,337,20,0.537286424834101,32.5,3.51281095246968
"4722",33.3333333333333,150,24.0415299227703,12.6666666666667,53.3333333333333,47.97111,906.261945,858.2883325,3.44077612733705,779.5,93.5,230,58.75,4.29,13.225,61.985,NA,0.86473649885544,147.5,3.5,119,10.8580142642635,235,334,8.5,NA,60,3.1
"A188",40.5507069952455,128.636562961337,24.0415299227703,13.1576893423934,84.4732949707388,0,650.4566675,650.4566675,4.94077612733705,650.5,85.5,247,62.5,5.12,14.415,65.97,NA,0.86473649885544,140,0.5,117.437275707228,9.85801426426351,183,347.5,17.5,NA,46.25,5.77911891959665
"A214N",36.407697422787,153.034431304277,26.0415299227703,12.3846361627153,57.543621226218,-5.70311861110761e-15,947.8172225,947.8172225,4.94077612733705,727,80.5,200,60,NA,NA,NA,NA,1.86473649885544,172.5,1.5,135.823500777993,12.8580142642635,207,275.5,8.5,NA,90.2416291977279,4.28307012793367
"A239",37.5507069952455,122.136562961337,21.0415299227703,12.1576893423934,81.9732949707388,17.110555,820.858055,803.7475,3.94077612733705,647,70.5,254.5,57.5,4.12,13.535,70.125,NA,0.86473649885544,122.5,0.5,106.937275707228,6.85801426426351,198,314,4,NA,57.5,7.08385974413267
"A272",33.1666666666667,120.166666666667,32.0415299227703,10.6666666666667,40.9830838030432,15.5164207426244,803.742848028509,788.397777835761,0.94077612733705,634.5,77.5,193,35.7963985917859,NA,NA,NA,NA,0.86473649885544,137.5,0.5,113.833333333333,6.85801426426351,173,267,8,NA,50,4.5
"A441-5",37.8333333333333,107.5,NA,11.9576744948914,59.6666666666667,14.3052775,917.538335,903.2330575,5.44077612733705,707.5,99.5,166,65,NA,NA,NA,NA,0.86473649885544,92.5,1.5,123.989223514779,10.8580142642635,127.5,232.5,14.5,0.537286424834101,52.5,6.88781095246968
"A554",39.5415955819674,128.579005734386,NA,12.9576744948914,76.2330838030432,11.4975,731.636945,720.136945,4.44077612733705,696.5,74,174.5,65,3.705,16.135,60.725,NA,0.86473649885544,112.5,1,108.989223514779,5.85801426426351,162,264,10.25,0.537286424834101,42.5,4.61281095246968
"A556",36.0415955819674,134.329005734386,NA,13.4576744948914,63.7330838030432,-21.9785792573756,715.963958028509,738.11889283576,2.94077612733705,673.303278488101,89.258457307065,218.5,44.2036014082141,4.37078068550918,12.805078741422,67.6702523885481,NA,0.86473649885544,92.5,1,117.489223514779,12.8580142642635,182,282.5,8.5,0.537286424834101,54.7583708022721,3.96281095246968
"A6",33.3985860095089,88.7268740773264,NA,14.1846213152132,28.5534100585223,9.72111,985.038335,975.3172225,2.94077612733705,972.303278488101,96.258457307065,191.5,75,NA,NA,NA,NA,0.86473649885544,178.75,5.5,75.1254485855441,11.8580142642635,205,341.5,18,0.537286424834101,85.2416291977279,3.1917621608067
"A619",47.2915955819674,145.579005734386,NA,13.9576744948914,103.983083803043,15.5164207426244,779.574513028509,802.886945,3.94077612733705,507,81.5,180.75,51.7036014082141,3.77078068550918,14.635078741422,66.6602523885481,NA,0.86473649885544,132.5,0.5,138.239223514779,8.85801426426351,174,243.5,8.5,0.537286424834101,55,4.96281095246968
"A632",36.6666666666667,114.333333333333,18.0415299227703,13.3333333333333,54.5,5.1802775,791.663335,786.483055,10.940776127337,708,69.5,227.5,53.75,4.315,12.795,68.25,NA,0.86473649885544,128.384299261511,1,101.333333333333,12.8580142642635,202,295.25,7.75,0.537286424834101,NA,4.58333333333333
"A634",40.1666666666667,123.166666666667,NA,14.9576744948914,80.7330838030432,17.110555,814.4686125,797.3580575,8.44077612733705,674.5,68.5,192.5,64.166666665,4.235,14.1,68.72,NA,0.86473649885544,127.5,0.5,109.5,9.85801426426351,199,247,3.5,0.537286424834101,NA,4.58333333333333
"A635",38.991030757787,145.226874077326,14.0415299227703,13.8846361627153,46.043621226218,52.4975,810.2475,757.7475,8.94077612733705,703,66.5,229.25,58.75,3.55921931449083,14.094921258578,70.399747611452,NA,0.86473649885544,110,1,87.5735007779934,11.8580142642635,162,307.25,10.25,NA,NA,4.75807012793367
"A641",36.5,121.833333333333,15.0415299227703,13.5,59.1666666666667,25.5791675,803.7475,778.163335,6.44077612733705,580.75,71,220.5,41.25,4.045,13.035,70.805,NA,0.86473649885544,107.5,-8.92717477279143e-17,96,10.8580142642635,134.5,248.75,3.75,NA,42.5,5.18333333333333
"A654",29.8985860095089,102.726874077326,NA,11.6846213152132,20.0534100585223,6.25,658.55278,652.30278,7.44077612733705,560.5,79.5,203,67.5,4.54921931449083,15.334921258578,64.869747611452,NA,0.86473649885544,112.5,5.69703733467377e-17,93.6254485855441,13.8580142642635,193,267,5.5,NA,62.5,3.8417621608067
"A659",35.6666666666667,128.833333333333,NA,15.9576744948914,70.4830838030432,-8.64691425737563,613.742848028509,726.52639,4.44077612733705,680,65.5,239.5,39.2036014082141,NA,NA,NA,NA,1,117.5,8.85903093982166e-18,115.166666666667,12.8580142642635,183,291.75,6.25,0.5,40,4.61666666666667
"A661",39.657697422787,121.534431304277,15.0415299227703,14.3846361627153,67.293621226218,44.233055,762.6777775,718.4422225,8.44077612733705,591,80.5,210.25,52.5,4.795,15.885,66.085,NA,0.86473649885544,132.5,0.5,108.073500777993,10.8580142642635,152,272.25,7,0.537286424834101,61.25,4.75807012793367
"A679",43.3333333333333,145.833333333333,NA,18.9576744948914,120.233083803043,3.235555,810.831665,807.59611,6.94077612733705,717,76,236.75,70,3.52,12.31,71.045,NA,0.86473649885544,140,0.5,137.833333333333,13.8580142642635,197,311,7,1.5372864248341,77.5,3.83333333333333
