genotype,family,EarDiameter_NY,EarWeight_NY,KernelWeight_NY,PlantHeight_NY,GDDDaystoSilk_NY
Z001E0001,Z001,39.8333333333333,71.043621226218,6.35,177.5,857.511945
Z001E0002,Z001,41.8333333333333,78.1666666666667,7.11666666666667,180,869.038335
Z001E0003,Z001,43,80.6666666666667,7.21666666666667,180,832.8316675
Z001E0004,Z001,42.657697422787,103.543621226218,5.25807012793367,177.5,818.7186125
Z001E0005,Z001,42.907697422787,99.043621226218,4.68307012793367,198.384299261511,951.8436125
Z001E0006,Z001,44.6666666666667,126.666666666667,6.311111111,210,798.56722
Z001E0007,Z001,49.157697422787,125.293621226218,4.90807012793367,185,829.4422225
Z001E0008,Z001,39.407697422787,66.293621226218,3.80807012793367,120,819.574513028509
Z001E0009,Z001,41.5,85.3333333333333,4.28333333333333,160,871.1225
Z001E0010,Z001,43.907697422787,108.543621226218,4.80807012793367,165,820.386945
Z001E0011,Z001,43.157697422787,112.793621226218,4.98307012793367,170,877.64889
Z001E0012,Z001,44.6666666666667,114,4.88333333333333,165,894.0527775
Z001E0013,Z001,41.907697422787,97.043621226218,5.20807012793367,140,897.1922225
Z001E0014,Z001,46.657697422787,120.543621226218,3.95807012793367,165,887.627293028509
Z001E0015,Z001,47.907697422787,75.293621226218,5.20807012793367,152.5,874.6922225
Z001E0016,Z001,37.657697422787,51.293621226218,5.48307012793367,137.5,927.47111
Z001E0017,Z001,47.407697422787,157.043621226218,5.40807012793367,187.5,887.52389
Z001E0018,Z001,44.6666666666667,84.8333333333333,5.15,147.5,832.8316675
Z001E0019,Z001,34.657697422787,54.793621226218,4.73307012793367,181.25,896.7066675
Z001E0020,Z001,45.1666666666667,90,4.13333333333333,142.5,851.636945
Z001E0021,Z001,43.3985860095089,47.543621226218,3.48307012793367,137.5,836.516738028509
Z001E0022,Z001,43.6666666666667,119.5,4.66666666666667,175,809.2763875
Z001E0023,Z001,44.8333333333333,117.833333333333,5.01666666666667,165,824.2619425
Z001E0024,Z001,42.157697422787,73.543621226218,5.08307012793367,160,843.4422225
Z001E0025,Z001,36.907697422787,65.543621226218,4.10807012793367,160,891.7066675
Z001E0026,Z001,44.5,118.166666666667,4.33333333333333,167.5,802.886945
Z001E0027,Z001,40.0415955819674,60,4.45,181.25,896.7066675
Z001E0028,Z001,40.907697422787,81.293621226218,7.08307012793367,132.5,970.127293028509
Z001E0029,Z001,45.407697422787,100.293621226218,4.45807012793367,160,832.733055
Z001E0030,Z001,40.907697422787,95.293621226218,4.90807012793367,135,861.6922225
Z001E0031,Z001,50.3985860095089,147.553410058522,5.1917621608067,167.5,872.906183028509
Z001E0032,Z001,41.5,81.8333333333334,4.3,165,827.0552775
Z001E0033,Z001,42.3985860095089,102.543621226218,4.38307012793367,165,876.5672225
Z001E0034,Z001,41.6666666666667,76,4.95,147.5,930.4566675
Z001E0035,Z001,39.157697422787,76.043621226218,4.65807012793367,157.5,927.353403028509
Z001E0036,Z001,50.1666666666667,112.166666666667,5.33333333333333,165.83333335,913.72111
Z001E0037,Z001,44.157697422787,106.043621226218,4.83307012793367,182.5,850.8436125
Z001E0038,Z001,40.8333333333333,111.5,5.5,172.5,851.636945
Z001E0039,Z001,41.1666666666667,81.6666666666667,3.96666666666667,140,901.516738028509
Z001E0040,Z001,47.5415955819674,125.043621226218,4.83307012793367,185,844.5816675
Z001E0041,Z001,47,116.666666666667,5.03333333333333,180,834.97111
Z001E0042,Z001,40.3985860095089,86.5534100585223,5.2417621608067,191.615700738489,859.853403028509
Z001E0043,Z001,45,93.3333333333333,3.78333333333333,155,886.0672225
Z001E0044,Z001,40.074364087787,108.293621226218,5.25807012793367,185,827.0552775
Z001E0045,Z001,43.3333333333333,99.1666666666667,3.43333333333333,175,783.1922225
Z001E0046,Z001,45.907697422787,116.793621226218,5.15807012793367,187.5,856.22111
Z001E0047,Z001,37.6666666666667,78.8333333333333,3.8,155,802.3316675
Z001E0048,Z001,40.6666666666667,95.1666666666667,4.75,162.5,897.8436125
Z001E0049,Z001,43.2915955819674,117.233083803043,4.23781095246968,172.5,896.7066675
Z001E0050,Z001,36.907697422787,60.793621226218,3.65807012793367,137.5,859.853403028509
Z001E0051,Z001,42.407697422787,85.293621226218,3.35807012793367,172.5,896.7066675
Z001E0052,Z001,37.8333333333333,70.1666666666667,3.78333333333333,163.384299261511,863.4686125
Z001E0053,Z001,41,97,4.98333333333333,160,896.7066675
Z001E0054,Z001,38.6666666666667,77.1666666666667,4.33333333333333,157.5,910.5936125
Z001E0055,Z001,47,104.833333333333,4.35,155,850.8725
Z001E0056,Z001,41.3333333333333,101.666666666667,3.16666666666667,185,774.7619425
Z001E0057,Z001,41.5,123.166666666667,4.45,175,821.52639
Z001E0058,Z001,42.3333333333333,74.8333333333333,4.93333333333333,195,851.1777775
Z001E0059,Z001,42.907697422787,93.293621226218,4.95807012793367,187.5,880.5791675
Z001E0060,Z001,48.3333333333333,87.1666666666667,5.06666666666667,200,800.456665
Z001E0061,Z001,44.5,110.333333333333,5.05,152.5,846.22111
Z001E0062,Z001,45.5,155.793621226218,5.25807012793367,171.25,883.3436125
Z001E0063,Z001,44.9168088360651,94.5338323939136,5.27437809506063,200,897.8436125
Z001E0064,Z001,40.6666666666667,80,4.86666666666667,168.75,842.3725
Z001E0065,Z001,45,92.5,4.26666666666667,130,816.6777775
Z001E0066,Z001,44.6666666666667,117,4.86666666666667,171.25,809.6777775
Z001E0067,Z001,43.5,99.6666666666667,4.63333333333333,155,885.038335
Z001E0068,Z001,40.907697422787,102.793621226218,4.05807012793367,185,836.39889
Z001E0069,Z001,43.8333333333333,125.5,5.53333333333333,150,803.7475
Z001E0070,Z001,40.6666666666667,79.6666666666667,5.18333333333333,197.5,859.4541675
Z001E0071,Z001,42.657697422787,116.543621226218,5.38307012793367,165,855.02389
Z001E0072,Z001,47.2915955819674,108.983083803043,5.11281095246968,141.615700738489,849.853403028509
Z001E0073,Z001,41.9168088360651,96.5338323939136,3.17437809506063,187.5,834.4566675
Z001E0074,Z001,42.3333333333333,105.543621226218,4.10807012793367,135,873.2186125
Z001E0075,Z001,37.8985860095089,89.5534100585223,3.6917621608067,140,843.0672225
Z001E0076,Z001,43.3333333333333,93,5.46666666666667,160,862.6369425
Z001E0077,Z001,42.5,105.293621226218,3.83307012793367,165,862.511945
Z001E0078,Z001,44.3333333333333,124.166666666667,4.76666666666667,167.5,817.77389
Z001E0079,Z001,40.157697422787,83.793621226218,4.03307012793367,140,872.906183028509
Z001E0080,Z001,41.3333333333333,108.333333333333,4.51666666666667,202.5,861.6922225
Z001E0081,Z001,40,92.3333333333333,4.25,180,874.6922225
Z001E0082,Z001,43.6666666666667,98.6666666666667,5.16666666666667,160,850.983055
Z001E0083,Z001,39.8985860095089,89.3333333333333,3.86666666666667,180,891.3172225
Z001E0084,Z001,39.407697422787,64.293621226218,3.70807012793367,165,892.886945
Z001E0085,Z001,36.407697422787,49.293621226218,3.45807012793367,142.5,876.5672225
Z001E0086,Z001,43.5415955819674,99.5,4.55,155,862.6369425
Z001E0087,Z001,42.657697422787,107.043621226218,4.45807012793367,170,856.5936125
Z001E0088,Z001,39.8333333333333,66.6666666666667,4.46666666666667,197.5,887.627293028509
Z001E0089,Z001,45.3333333333333,82.793621226218,3.93307012793367,200,817.6922225
Z001E0090,Z001,39.407697422787,54.293621226218,5.35807012793367,172.5,887.52389
Z001E0091,Z001,39.657697422787,72.793621226218,4.75807012793367,170,861.9830575
Z001E0092,Z001,37.157697422787,52.543621226218,3.80807012793367,130,891.7066675
Z001E0093,Z001,41,70.3333333333333,4.66281095246968,160,809.77639
Z001E0094,Z001,41.907697422787,107.293621226218,4.15807012793366,167.5,857.511945
Z001E0095,Z001,38.8985860095089,87.793621226218,5.28307012793367,135,866.6922225
