<Phenotype>
taxa	factor	data	data	data	data	data
genotype	family	EarDiameter_NY	EarWeight_NY	KernelWeight_NY	PlantHeight_NY	GDDDaystoSilk_NY
Z001E0001	Z001	39.83333	71.0436212	6.350000	177.5000	857.5119
Z001E0002	Z001	41.83333	78.1666667	7.116667	180.0000	869.0383
Z001E0003	Z001	43.00000	80.6666667	7.216667	180.0000	832.8317
Z001E0004	Z001	42.65770	103.5436212	5.258070	177.5000	818.7186
Z001E0005	Z001	42.90770	99.0436212	4.683070	198.3843	951.8436
Z001E0006	Z001	44.66667	126.6666667	6.311111	210.0000	798.5672
Z001E0007	Z001	49.15770	125.2936212	4.908070	185.0000	829.4422
Z001E0008	Z001	39.40770	66.2936212	3.808070	120.0000	819.5745
Z001E0009	Z001	41.50000	85.3333333	4.283333	160.0000	871.1225
Z001E0010	Z001	43.90770	108.5436212	4.808070	165.0000	820.3869
Z001E0011	Z001	43.15770	112.7936212	4.983070	170.0000	877.6489
Z001E0012	Z001	44.66667	114.0000000	4.883333	165.0000	894.0528
Z001E0013	Z001	41.90770	97.0436212	5.208070	140.0000	897.1922
Z001E0014	Z001	46.65770	120.5436212	3.958070	165.0000	887.6273
Z001E0015	Z001	47.90770	75.2936212	5.208070	152.5000	874.6922
Z001E0016	Z001	37.65770	51.2936212	5.483070	137.5000	927.4711
Z001E0017	Z001	47.40770	157.0436212	5.408070	187.5000	887.5239
Z001E0018	Z001	44.66667	84.8333333	5.150000	147.5000	832.8317
Z001E0019	Z001	34.65770	54.7936212	4.733070	181.2500	896.7067
Z001E0020	Z001	45.16667	90.0000000	4.133333	142.5000	851.6369
Z001E0021	Z001	43.39859	47.5436212	3.483070	137.5000	836.5167
Z001E0022	Z001	43.66667	119.5000000	4.666667	175.0000	809.2764
Z001E0023	Z001	44.83333	117.8333333	5.016667	165.0000	824.2619
Z001E0024	Z001	42.15770	73.5436212	5.083070	160.0000	843.4422
Z001E0025	Z001	36.90770	65.5436212	4.108070	160.0000	891.7067
Z001E0026	Z001	44.50000	118.1666667	4.333333	167.5000	802.8869
Z001E0027	Z001	40.04160	60.0000000	4.450000	181.2500	896.7067
Z001E0028	Z001	40.90770	81.2936212	7.083070	132.5000	970.1273
Z001E0029	Z001	45.40770	100.2936212	4.458070	160.0000	832.7331
Z001E0030	Z001	40.90770	95.2936212	4.908070	135.0000	861.6922
Z001E0031	Z001	50.39859	147.5534101	5.191762	167.5000	872.9062
Z001E0032	Z001	41.50000	81.8333333	4.300000	165.0000	827.0553
Z001E0033	Z001	42.39859	102.5436212	4.383070	165.0000	876.5672
Z001E0034	Z001	41.66667	76.0000000	4.950000	147.5000	930.4567
Z001E0035	Z001	39.15770	76.0436212	4.658070	157.5000	927.3534
Z001E0036	Z001	50.16667	112.1666667	5.333333	165.8333	913.7211
Z001E0037	Z001	44.15770	106.0436212	4.833070	182.5000	850.8436
Z001E0038	Z001	40.83333	111.5000000	5.500000	172.5000	851.6369
Z001E0039	Z001	41.16667	81.6666667	3.966667	140.0000	901.5167
Z001E0040	Z001	47.54160	125.0436212	4.833070	185.0000	844.5817
Z001E0041	Z001	47.00000	116.6666667	5.033333	180.0000	834.9711
Z001E0042	Z001	40.39859	86.5534101	5.241762	191.6157	859.8534
Z001E0043	Z001	45.00000	93.3333333	3.783333	155.0000	886.0672
Z001E0044	Z001	40.07436	108.2936212	5.258070	185.0000	827.0553
Z001E0045	Z001	43.33333	99.1666667	3.433333	175.0000	783.1922
Z001E0046	Z001	45.90770	116.7936212	5.158070	187.5000	856.2211
Z001E0047	Z001	37.66667	78.8333333	3.800000	155.0000	802.3317
Z001E0048	Z001	40.66667	95.1666667	4.750000	162.5000	897.8436
Z001E0049	Z001	43.29160	117.2330838	4.237811	172.5000	896.7067
Z001E0050	Z001	36.90770	60.7936212	3.658070	137.5000	859.8534
Z001E0051	Z001	42.40770	85.2936212	3.358070	172.5000	896.7067
Z001E0052	Z001	37.83333	70.1666667	3.783333	163.3843	863.4686
Z001E0053	Z001	41.00000	97.0000000	4.983333	160.0000	896.7067
Z001E0054	Z001	38.66667	77.1666667	4.333333	157.5000	910.5936
Z001E0055	Z001	47.00000	104.8333333	4.350000	155.0000	850.8725
Z001E0056	Z001	41.33333	101.6666667	3.166667	185.0000	774.7619
Z001E0057	Z001	41.50000	123.1666667	4.450000	175.0000	821.5264
Z001E0058	Z001	42.33333	74.8333333	4.933333	195.0000	851.1778
Z001E0059	Z001	42.90770	93.2936212	4.958070	187.5000	880.5792
Z001E0060	Z001	48.33333	87.1666667	5.066667	200.0000	800.4567
Z001E0061	Z001	44.50000	110.3333333	5.050000	152.5000	846.2211
Z001E0062	Z001	45.50000	155.7936212	5.258070	171.2500	883.3436
Z001E0063	Z001	44.91681	94.5338324	5.274378	200.0000	897.8436
Z001E0064	Z001	40.66667	80.0000000	4.866667	168.7500	842.3725
Z001E0065	Z001	45.00000	92.5000000	4.266667	130.0000	816.6778
Z001E0066	Z001	44.66667	117.0000000	4.866667	171.2500	809.6778
Z001E0067	Z001	43.50000	99.6666667	4.633333	155.0000	885.0383
Z001E0068	Z001	40.90770	102.7936212	4.058070	185.0000	836.3989
Z001E0069	Z001	43.83333	125.5000000	5.533333	150.0000	803.7475
