genotype,family,EarWeight_NY,GDDDaystoSilk_NY
Z004E0001,Z004,105.793621226218,897.8436125
Z004E0002,Z004,109.043621226218,903.2330575
Z004E0003,Z004,110.543621226218,935.406183028509
Z004E0004,Z004,114.399750453043,992.353403028509
Z004E0005,Z004,90.6666666666667,917.538335
Z004E0006,Z004,47.5,924.0672225
Z004E0007,Z004,52.5338323939137,947.8172225
Z004E0008,Z004,107.553410058522,937.47111
Z004E0009,Z004,106.293621226218,934.4830575
Z004E0010,Z004,89.0534100585223,935.406183028509
Z004E0011,Z004,46.412757547564,947.353403028509
Z004E0012,Z004,65.5534100585223,1004.01673802851
Z004E0013,Z004,54.293621226218,947.353403028509
Z004E0014,Z004,99.4732949707388,935.406183028509
Z004E0015,Z004,NA,956.9830575
Z004E0016,Z004,45.793621226218,935.406183028509
Z004E0017,Z004,87.293621226218,934.4830575
Z004E0018,Z004,100.293621226218,1004.01673802851
Z004E0019,Z004,77.793621226218,887.627293028509
Z004E0020,Z004,114.053410058522,935.406183028509
Z004E0021,Z004,82.9830838030432,901.516738028509
Z004E0022,Z004,110.233083803043,859.853403028509
Z004E0023,Z004,140.553410058522,980.406183028509
Z004E0024,Z004,112.053410058522,898.483055
Z004E0025,Z004,88.412757547564,956.9830575
Z004E0026,Z004,45.9830838030432,934.4830575
Z004E0027,Z004,80.543621226218,934.6777775
Z004E0028,Z004,75.5,992.353403028509
Z004E0029,Z004,95.0534100585223,951.8436125
Z004E0030,Z004,121.233083803043,970.127293028509
Z004E0031,Z004,NA,951.8436125
Z004E0032,Z004,88.0534100585223,933.559931971491
Z004E0033,Z004,35.0534100585223,1004.01673802851
Z004E0034,Z004,79.5534100585223,849.853403028509
Z004E0035,Z004,58.793621226218,1031.51673802851
Z004E0036,Z004,80.2330838030432,980.406183028509
Z004E0037,Z004,72.5534100585223,962.9566675
Z004E0038,Z004,NA,NA
Z004E0039,Z004,64.293621226218,956.9830575
Z004E0040,Z004,115.293621226218,837.913335
Z004E0041,Z004,95.6666666666667,942.4277775
Z004E0042,Z004,86.5338323939137,934.4830575
Z004E0043,Z004,134.053410058522,927.353403028509
Z004E0044,Z004,70.5534100585223,992.353403028509
Z004E0045,Z004,65.043621226218,898.483055
Z004E0046,Z004,110.553410058522,924.0672225
Z004E0047,Z004,100.233083803043,947.8172225
Z004E0048,Z004,75.7330838030432,940.4566675
Z004E0049,Z004,119.053410058522,883.3436125
Z004E0050,Z004,75.9830838030432,947.353403028509
Z004E0051,Z004,109.053410058522,962.074513028509
Z004E0052,Z004,90.1666666666667,903.2330575
Z004E0053,Z004,72.0534100585223,1036.51673802851
Z004E0054,Z004,87.543621226218,930.4566675
Z004E0055,Z004,144.746090847564,947.8172225
Z004E0056,Z004,56.2330838030432,934.4830575
Z004E0057,Z004,66.412757547564,977.14889
Z004E0058,Z004,87.0534100585223,890.2475
Z004E0059,Z004,111.053410058522,956.9830575
Z004E0060,Z004,86,935.406183028509
Z004E0061,Z004,125.983083803043,927.353403028509
Z004E0062,Z004,122.473294970739,857.511945
Z004E0063,Z004,106.733083803043,935.406183028509
Z004E0064,Z004,56.8333333333333,968.788335
Z004E0065,Z004,NA,NA
Z004E0066,Z004,69.0534100585223,947.8172225
Z004E0067,Z004,81.9830838030432,947.8172225
Z004E0068,Z004,74.293621226218,903.2330575
Z004E0069,Z004,107.666666666667,887.627293028509
Z004E0070,Z004,109.053410058522,855.110555
Z004E0071,Z004,106.793621226218,874.5408325
Z004E0072,Z004,71.293621226218,934.4830575
Z004E0073,Z004,45,985.038335
Z004E0074,Z004,96.6666666666667,858.3052775
Z004E0075,Z004,97.043621226218,940.4566675
Z004E0076,Z004,86.5,924.0672225
Z004E0077,Z004,62.0534100585223,910.5936125
Z004E0078,Z004,123.983083803043,947.353403028509
Z004E0079,Z004,67.6666666666667,934.4830575
Z004E0080,Z004,61.6666666666667,947.353403028509
Z004E0081,Z004,63.3333333333333,924.0672225
Z004E0082,Z004,73.5,940.4566675
Z004E0083,Z004,103.053410058522,875.9422225
Z004E0084,Z004,103.053410058522,908.89889
Z004E0085,Z004,59.4732949707388,956.9830575
Z004E0086,Z004,77.293621226218,962.9566675
Z004E0087,Z004,79.8333333333333,933.559931971491
Z004E0088,Z004,47.293621226218,924.0672225
Z004E0089,Z004,113.543621226218,903.72111
Z004E0090,Z004,81.043621226218,934.4830575
Z004E0091,Z004,82.293621226218,920.110555
Z004E0092,Z004,62.5534100585223,992.353403028509
Z004E0093,Z004,129.053410058522,933.559931971491
Z004E0094,Z004,75,972.8172225
Z004E0095,Z004,46.5338323939137,980.406183028509
Z004E0096,Z004,87.5534100585223,957.5672225
Z004E0097,Z004,65.793621226218,940.4566675
Z004E0098,Z004,93.793621226218,910.5936125
Z004E0099,Z004,79.2330838030432,935.406183028509
Z004E0100,Z004,115.543621226218,885.038335
Z004E0101,Z004,NA,962.074513028509
Z004E0102,Z004,104,859.853403028509
Z004E0103,Z004,81.6666666666667,903.2330575
Z004E0104,Z004,55.3333333333333,951.8436125
Z004E0105,Z004,87.5,962.9566675
Z004E0106,Z004,NA,970.127293028509
Z004E0107,Z004,46.6666666666667,927.353403028509
Z004E0108,Z004,66.5,947.353403028509
Z004E0109,Z004,76.793621226218,946.636945
Z004E0110,Z004,28.5534100585223,940.4566675
Z004E0111,Z004,82.293621226218,913.72111
Z004E0112,Z004,81.0534100585223,1031.51673802851
Z004E0113,Z004,60.043621226218,957.5672225
Z004E0114,Z004,26.0534100585223,962.074513028509
Z004E0115,Z004,61.543621226218,934.4830575
Z004E0116,Z004,87.3333333333333,935.406183028509
Z004E0117,Z004,94.793621226218,957.5672225
Z004E0118,Z004,78.543621226218,935.0672225
Z004E0119,Z004,124.473294970739,890.2475
Z004E0120,Z004,83.4830838030431,970.127293028509
Z004E0121,Z004,66.412757547564,975.3172225
Z004E0122,Z004,99.9830838030432,951.8436125
Z004E0123,Z004,85.6666666666667,930.4566675
